,BLOCK_NUMBER,BLOCK_TIME,TOKEN_A_IN,TOKEN_A_OUT,TOKEN_B_IN,TOKEN_B_OUT,SENDER,TX_HASH
0,14560001,1649650169,0.0,0.6054935800709701,2e-09,0.0,0xE241609c15393e1B59f3E68F718E445d0469e28D,0x9d073d4bcbdbab3bb1eb36deb7ac60bafd1bc0791f9ec649aa996046732d6525
1,14560004,1649650187,0.6959594194754826,0.0,0.0,2.285035676e-09,0xAdEc6fffBFFF4f682d253cCC4Eb495E11DAE9E33,0x69af4a46df9cac5d999026f603845cb5fb89ee4689420f1a8dcb339e63877bcb
2,14560011,1649650231,0.34183573038770876,0.0,0.0,1.122292709e-09,0xFBeB7D22543EDE2914b7dcD4D5Ad32310ff9f0B7,0x47536d2bc673718a1d2b6eb43a0c17a9af7c9e52e4d5ecb41bf637df0291d90a
3,14560013,1649650255,0.0,0.13236626811500807,4.37191366e-10,0.0,0x297bEBF0073962D3b9D3A9c477A8B490a4c1782A,0xd599602ce35e48b8b8d927ae183607d34feac4adc63d92938ca58245bb2a5b23
4,14560028,1649650489,0.0,3.027217489613794,1e-08,0.0,0xc24a7Ce3F9F472bcc570b7299BC0899b7634c88E,0xc43ef472f841989df26979499192379b12ca16b749766ea89ed5df7c2ff37c60
5,14560033,1649650577,0.0,0.6053436962036975,2e-09,0.0,0xE241609c15393e1B59f3E68F718E445d0469e28D,0xcad8044b7f4a8a3cdcc4aa436f47aa66725419f26fe8968e17d37f3019477934
6,14560040,1649650615,0.5,0.0,0.0,1.642065319e-09,0x12e5dE5A9ACAC024E08c60a1b063c3F17565A523,0xeba5d924956eee217389db4f040d2f58c3743d692434e2bd067cb358e4654797
7,14560043,1649650649,0.0,0.05691325110556121,1.8803331e-10,0.0,0x4443D4c2CFb099362140F716B21af37563A3E4D7,0xda1defcce766262acd31660bea44259d3c0159b7663314a20129211674b66940
8,14560045,1649650667,0.0,1.059313965504732,3.5e-09,0.0,0xE241609c15393e1B59f3E68F718E445d0469e28D,0xb285026eadd0d6c61210d769111206dcff14904245cd332ee7960e85dfe8e1c4
9,14560046,1649650691,1.29,0.0,0.0,4.236614776e-09,0x31249dFD269497cc77a95f804a6ae6dA6cFa7B3C,0xa04dd5afbeae286f65af74b7d4ac771e2c4341f6d92f2ca3d8beff2e5257f440
10,14560048,1649650755,0.0,0.6053471575981162,2e-09,0.0,0x8Ac2168F010945C19eC1cA0cd606aA2cDf47C547,0xc7f8f3d201e4bc79532eb72583fbc632cb3ac6a5ab3aa6983b0d9be38959aafe
11,14560049,1649650771,0.0,0.3026611119481989,1e-09,0.0,0x14221eaaaB9aA1FFfE4DF97a803CA403b52eCaC6,0x2d2cc9a9ae6d82bbe1066e6a0c74ae8311f0ebff22c3e266e5af52d334ce7c5c
12,14560054,1649650815,0.0,0.03026565376366053,1e-10,0.0,0xC1De2b10763e101f675E939c82F907a74eDcb98E,0x15ec4e35db48542b44b2e04d581dd534b11f6c9cf2c66a398f83210be1a86995
13,14560057,1649650843,0.0,1.815787448486751,6e-09,0.0,0x217E4Af3bAD04Cc4d0463DF3cfDFF9Ce7a028925,0xbaab02f779910e7a7d8e98a0f62c0326f595a791203eeb0c76848c60ba34a58b
14,14560065,1649650982,0.4768356856851232,0.0,0.0,1.566288538e-09,0x876CAB6661DedcBEF33A8eef1Edc037d3690792B,0x815b2180a5efb20043f1e87ee1f52a2d9a00cf5c6102fe50b044e7c7261d67cd
15,14560067,1649650990,1.461092387307455,0.0,0.0,4.798910819e-09,0xD6026c6300c91Fb503b67bf10121661bb261cFb5,0x9334a479a65c394b4ec83a21b0d1804094963f37ed2ace78f7895bb777ec48c3
16,14560068,1649650997,1.012,0.0,0.0,3.323509677e-09,0x31249dFD269497cc77a95f804a6ae6dA6cFa7B3C,0x81ee8e66a23ee55d0be7daf65c10f0fc92bee7d2e9980e8c5cba33cc639422ad
17,14560079,1649651158,0.0,0.1363098576280576,4.50335481e-10,0.0,0xD08C8d0503a192b23d150f15ce6C12745cc15B93,0x71226812ef84e7a47964d70f680dac7a422c927f364a2f0b6760795c57cc6d7d
18,14560080,1649651188,0.0,3.6318678776879514,1.2000878598e-08,0.0,0xcB8C9F64cd8eCe0Fa76fD46302Fd1d1db9Eb47f0,0xcf1d4d4f911199ec4f540b4109e27c8a7233f63381ba85b61f86cf264245bd37
19,14560083,1649651204,0.22867263822826428,0.0,0.0,7.51198416e-10,0x12Fa385CEd02b0B07A2800384fB3313ED8d08547,0xc19f00a543195c3d93243ba77696c68c48c4b73cc01f4551932b24bc8ece47e0
20,14560088,1649651255,0.0,1.2075700498822366,3.991e-09,0.0,0x0203b50F85a155BC8698F7ad2bfB4eD792554Cc9,0x13eebc3ac0fc286abc8877231a3958e4c47644f7994e030ff9a9869ea1636baf
21,14560095,1649651327,0.0,1.5126799269012647,5e-09,0.0,0x6e3F8d6b7DAdD1A2624aAD92c784A0C633Fd6f52,0x992d247e8b970bf930b76e0ca946926af7e526889479318db2b762e11583563a
22,14560103,1649651456,0.0,0.07865367207407775,2.6e-10,0.0,0x6C78e18eBB4BaDA5C258481D6E6dFdd8C4cb892B,0x7b488ec25fb8ee88d24c95b0775771183942681511862dbef1c5bc5334a4b8ae
23,14560106,1649651491,0.05172979561691019,0.0,0.0,1.69975356e-10,0xC7B657265A9D8Bf4cA43971eeDb16224364eB050,0xce091b035f39c3e6a5a18d1b810dc535b70ef0b46c6777d89cda59e13757b754
24,14560108,1649651516,0.17194094161939452,0.0,0.0,5.64963135e-10,0xC7B657265A9D8Bf4cA43971eeDb16224364eB050,0x222d7afaac69922f25c7e87c2172ab36e5a1fe3e329208175345c372abebba39
25,14560110,1649651537,0.0,0.01901011622131965,6.2839433e-11,0.0,0x29493d912d29d9542EC4DcF95C23beE8C25D7e9F,0xf6822bee2fa8324dacb08957b8c759b6642602da30f1a49a633153fbb431faa6
26,14560112,1649651618,0.0,0.2998675299043159,9.9125e-10,0.0,0xbBB897330075943E95d562F0562Be379009261d7,0xe28589f763f3c710b11d42b2460ce2acba7cc31f417643d3e0d7ae3bc109b2b6
27,14560128,1649651881,0.0,0.03025099974443992,1e-10,0.0,0x3fEb1c01343FA0c24f1F7D1b6ecbA9F8134a3d07,0x787d4b5dda46d4030465967a42de2138a28c0c40b073b8c5c74569ffe9e2cbe5
28,14560136,1649652013,0.0,0.016032996194443656,5.3e-11,0.0,0xac42dA3B34DDae1CD9CE537740556a07f089A13e,0x92b4204a046b48fd95bfefb7918df50c28fc63b8c14e89194da1063624dfad85
29,14560137,1649652022,0.0,1.073376677864672,3.5484179e-09,0.0,0xD6390178B2002a0758e8B3486FDDc1c4Bc23eBe1,0x7e53286c1153661e4604170526272913f38e53ce12101f5d1039ff16f88f8fcc
30,14560141,1649652099,0.0,0.4099442526766528,1.355303766e-09,0.0,0x2C67951A0609fa56F4D500DE6a9457114a392639,0x247fb893fd7e7bae94cd38d83129827dbff1386568676fbbc44ed05e16720c00
31,14560143,1649652106,0.34724714853970295,0.0,0.0,1.141148399e-09,0x0a8e7eb769C0CA14764f7a25FD27aB7f3Cefc614,0xd0aad3bf705d0a660687049db93da939dfd05eaacbc7060587053680976790e9
32,14560155,1649652271,0.0,3.024365132495975,1e-08,0.0,0xc24a7Ce3F9F472bcc570b7299BC0899b7634c88E,0x615bb71e3009f5e320c7d28abd5c7bce70d49fea9206f53cb6bc577ee117448f
33,14560156,1649652299,0.07633400095604662,0.0,0.0,2.50918272e-10,0xdA1C6B2C5838377a6de32b725435a93f68970EB1,0x18ddc10b75db88c48e24a6b15a7c48b3232438e1483175ca86c4d02ff74f76be
34,14560167,1649652367,0.15074018632204292,0.0,0.0,4.95494516e-10,0xC77409A94A969b041f2170448729111b1260bE8e,0x03740b1382c70be95f93a67477e264e99a90bc06700b9d9a6115a897a6792e01
35,14560175,1649652436,0.0,0.9071662560869053,3e-09,0.0,0xE241609c15393e1B59f3E68F718E445d0469e28D,0xbcfb42908262f777e23de3ec698480fcf12e5218db9a2d98610e277046898d3b
36,14560181,1649652570,0.0,0.5657565716432421,1.87108278e-09,0.0,0x30c5312d9CF0d873994f000e72F1cbf561D0209C,0x60e42671504ce28d2c79fb34f3e11c6837e2244cb5eeafc1f6db364f8c0ae2bc
37,14560181,1649652570,0.598432105844231,0.0,0.0,1.967288361e-09,0xD1402db2D28bAEb571b32757938A12575221672D,0xc70b4338b6e47886d6185b7fab836ce472b13deac683088a144c63a3cc921f66
38,14560181,1649652570,0.0,0.45355638829711453,1.5e-09,0.0,0xE241609c15393e1B59f3E68F718E445d0469e28D,0x9e91939c57268291faeeb8bd815b075a2aba23d08d845b05a8cedd21468408d7
39,14560184,1649652597,0.0,6.188210873438073,2.0471787811e-08,0.0,0xcdff510Fccaa008D1F439851dff4b37fd8168f2F,0x71d11a21ee7ae649f740589c87cb761c7cbadc494c0e4b915df2f7ab91b367a6
40,14560184,1649652597,3.0405807964811267,0.0,0.0,1e-08,0x130875FF6c0307338295EB7606cbB4C76F728dE7,0x44decb4f16b2f5b0c890154d0e1495800ed068f55bff2a39df9a687496e5dd36
